Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time,Sector
LQDT,Liquidity Services,4.0,0.05,+1.27%,4.17,3.88,240800,03/13/20,Consumer Cyclical
LTC,Ltc Properties,33.59,4.06,+13.75%,33.59,29.84,921800,03/13/20,Real Estate
LTHM,Livent Corp,6.36,0.24,+3.92%,6.68,5.9,2693900,03/13/20,Basic Materials
LXP,Lexington Realty Trust,9.76,1.01,+11.54%,9.76,8.48,3025500,03/13/20,Real Estate
LXU,Lsb Industries Inc,1.78,0.11,+6.59%,1.82,1.7,234100,03/13/20,Basic Materials
LZB,La-Z-Boy Inc,23.22,2.97,+14.67%,23.22,20.45,652000,03/13/20,Consumer Cyclical
MANT,Mantech Intl Cp A,70.78,7.22,+11.37%,70.82,64.48,261500,03/13/20,Technology
MATW,Matthews Intl Corp,22.44,2.31,+11.48%,22.49,19.45,260000,03/13/20,Industrials
MATX,Matson Inc,31.47,5.09,+19.29%,31.47,26.41,267700,03/13/20,Industrials
MCRI,Monarch Casino,23.99,2.68,+12.58%,24.25,21.88,564900,03/13/20,Consumer Cyclical
MCS,Marcus Corp,15.42,1.38,+9.83%,15.58,13.65,320800,03/13/20,Communication Services
MDC,M.D.C. Holdings,28.17,1.23,+4.57%,28.98,25.2,970900,03/13/20,Consumer Cyclical
MED,Medifast Inc,68.51,1.88,+2.82%,71.93,66.32,355400,03/13/20,Consumer Cyclical
MEDP,Medpace Holdings Inc,77.59,5.33,+7.38%,77.59,70.9,444100,03/13/20,Healthcare
MEI,Methode Electronics,27.88,2.34,+9.16%,28.21,25.94,334500,03/13/20,Technology
MERC,Mercer Intl Inc,7.61,0.61,+8.71%,7.83,7.09,351500,03/13/20,Basic Materials
MGLN,Magellan Health,49.56,1.73,+3.62%,50.01,45.6,264100,03/13/20,Healthcare
MGPI,MGP Ingredients Inc,26.18,3.08,+13.33%,26.18,23.15,469300,03/13/20,Consumer Defensive
MHO,M/I Homes,24.03,0.46,+1.95%,24.93,22.18,491700,03/13/20,Consumer Cyclical
MIK,The Michaels Comp,2.65,0.26,+10.88%,2.65,2.3,6695000,03/13/20,Consumer Cyclical
MINI,Mobile Mini Inc,30.59,3.81,+14.23%,31.1,26.58,862000,03/13/20,Industrials
MLAB,Mesa Labs Inc,203.92,-9.08,-4.26%,225.0,193.99,62500,03/13/20,Technology
